number,name,status
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,F
450,Adding A Statistics Module To The Standard Library,F
451,A ModuleSpec Type for the Import System,F
452,API for Cryptographic Hash Functions v2.0,F
453,Explicit bootstrapping of pip in Python installations,F
454,Add a new tracemalloc module to trace Python memory allocations,F
455,Adding a key-transforming dictionary to collections,R
456,Secure and interchangeable hash algorithm,F
457,Notation For Positional-Only Parameters,F
458,Secure PyPI downloads with signed repository metadata,A
459,Standard Metadata Extensions for Python Software Packages,W
460,Add binary interpolation and formatting,W
461,Adding % formatting to bytes and bytearray,F
462,Core development workflow automation for CPython,W
463,Exception-catching expressions,R
464,Removal of the PyPI Mirror Authenticity API,F
465,A dedicated infix operator for matrix multiplication,F
466,Network Security Enhancements for Python 2.7.x,F
467,Minor API improvements for binary sequences,
468,Preserving the order of **kwargs in a function.,F
469,Migration of dict iteration code to Python 3,W
470,Removing External Hosting Support on PyPI,F
471,os.scandir() function – a better and faster directory iterator,F
472,Support for indexing with keyword arguments,R
473,Adding structured data to built-in exceptions,R
474,Creating forge.python.org,W
475,Retry system calls failing with EINTR,F
476,Enabling certificate verification by default for stdlib http clients,F
477,Backport ensurepip (PEP 453) to Python 2.7,F
478,Python 3.5 Release Schedule,
479,Change StopIteration handling inside generators,F
480,Surviving a Compromise of PyPI: End-to-end signing of packages,
481,"Migrate CPython to Git, Github, and Phabricator",W
482,Literature Overview for Type Hints,F
483,The Theory of Type Hints,F
484,Type Hints,F
485,A Function for testing approximate equality,F
486,Make the Python Launcher aware of virtual environments,F
487,Simpler customisation of class creation,F
488,Elimination of PYO files,F
489,Multi-phase extension module initialization,F
490,Chain exceptions at C level,R
491,The Wheel Binary Package Format 1.9,D
492,Coroutines with async and await syntax,F
493,HTTPS verification migration tools for Python 2.7,F
494,Python 3.6 Release Schedule,F
495,Local Time Disambiguation,F
496,Environment Markers,R
497,A standard mechanism for backward compatibility,R
498,Literal String Interpolation,F
499,python -m foo should bind sys.modules[‘foo’] in addition to sys.modules[‘__main__’],D
500,A protocol for delegating datetime methods to their tzinfo implementations,R
501,General purpose string interpolation,D
502,String Interpolation - Extended Discussion,R
503,Simple Repository API,F
504,Using the System RNG by default,W
505,None-aware operators,D
506,Adding A Secrets Module To The Standard Library,F
507,Migrate CPython to Git and GitLab,R
508,Dependency specification for Python Software Packages,F
509,Add a private version to dict,F
510,Specialize functions with guards,R
511,API for code transformers,R
512,Migrating from hg.python.org to GitHub,F
513,A Platform Tag for Portable Linux Built Distributions,S
514,Python registration in the Windows registry,
515,Underscores in Numeric Literals,F
516,Build system abstraction for pip/conda etc,R
517,A build-system independent format for source trees,F
518,Specifying Minimum Build System Requirements for Python Projects,F
519,Adding a file system path protocol,F
520,Preserving Class Attribute Definition Order,F
521,Managing global context via ‘with’ blocks in generators and coroutines,W
522,Allow BlockingIOError in security sensitive APIs,R
523,Adding a frame evaluation API to CPython,F
524,Make os.urandom() blocking on Linux,F
525,Asynchronous Generators,F
526,Syntax for Variable Annotations,F
527,Removing Un(der)used file types/extensions on PyPI,F
528,Change Windows console encoding to UTF-8,F
529,Change Windows filesystem encoding to UTF-8,F
530,Asynchronous Comprehensions,F
531,Existence checking operators,W
532,A circuit breaking protocol and binary operators,D
533,Deterministic cleanup for iterators,D
534,Improved Errors for Missing Standard Library Modules,D
535,Rich comparison chaining,D
536,Final Grammar for Literal String Interpolation,D
537,Python 3.7 Release Schedule,
538,Coercing the legacy C locale to a UTF-8 based locale,F
539,A New C-API for Thread-Local Storage in CPython,F
540,Add a new UTF-8 Mode,F
